1;1;1;node0;2019-07-02T01:02:02.864Z;2019-07-02T01:07:27.505Z;324641;false;undefined;321674;92;
2;5;5;node0;2019-07-02T01:07:38.574Z;2019-07-02T01:14:38.208Z;419634;false;undefined;416755;79;
1;1;1;node0;2019-07-02T01:37:17.301Z;2019-07-02T01:42:27.872Z;310571;false;undefined;308594;92;
2;5;5;node0;2019-07-02T01:42:38.885Z;2019-07-02T01:48:39.996Z;361111;false;undefined;358677;102;
3;4;4;node0;2019-07-02T01:48:39.997Z;2019-07-02T01:57:20.558Z;520561;false;undefined;517879;99;
4;3;3;node0;2019-07-02T01:57:20.558Z;2019-07-02T02:02:55.520Z;334962;false;undefined;332635;89;
5;2;2;node0;2019-07-02T02:02:55.521Z;2019-07-02T02:10:29.673Z;454152;false;undefined;451826;84;
6;1;1;node0;2019-07-02T02:10:29.673Z;2019-07-02T02:15:45.450Z;315777;false;undefined;313598;66;
1;1;1;node0;2019-07-02T20:26:14.980Z;2019-07-02T20:33:47.509Z;452529;false;undefined;446009;164;
2;5;5;node0;2019-07-02T20:33:58.584Z;2019-07-02T20:40:14.322Z;375738;false;undefined;369839;138;
3;4;4;node0;2019-07-02T20:40:14.323Z;2019-07-02T20:45:44.954Z;330631;false;undefined;324816;166;
